Word,Count
searchAllProducts(){,4
vector,4
feed,4
'ICreditCardManager',4
cosmapek.features,4
(Node,4
'IBankTransferManager',4
MAPEK,4
order,4
UnsupportedOperationException();,4
next(),4
'CreditCard',4
returns,4
null;,4
assumed,4
which,4
\System.out.println("\VisaB"\+"\VisaB\,4
available,4
formulas,4
'IPaymentManager',4
'IMoneyPaymentManager',4
level,4
do,4
inner,4
arrayList.get(currentIndex),4
6/4/2015,4
only,4
todos,4
dependencies,4
featureModel,4
cosmapek.components,4
check,4
problem,4
xml,4
nothing,4
elements,4
transform,4
numbers,4
var,4
instanceof,4
\System.out.println("\VisaA"\+"\VisaA\,4
grammar,4
con,4
currentSize,4
null),4
'IBankInvoiceManager',4
optionalBrackets,4
flag,4
expressions,4
necessary,4
el,4
Checks,4
whether,4
least,4
(A,4
clauses,3
quotation,3
'IControllerManager',3
Exception,3
'Conn_sensors_VisaCSensor',3
node),3
0),3
'creditCard.req.IVisaManager',3
representing,3
application,3
searchAllProducts();,3
data,3
-1,3
following,3
i_IVisaManager.businessMethod(param);,3
\"\IControllerManager"\;\,3
clause,3
'Conn_sensors_VisaASensor',3
Feature,3
logical,3
formed,3
i,3
IControllerManagerReq,3
values,3
node's,3
user,3
(IVisaManager),3
sol);,3
we,3
Is,3
num,3
'Conn_sensors_VisaBSensor',3
@see,3
fm,3
control,3
saves,3
LinkedList<String>,3
And,3
'Conn_sensors_MasterCardBSensor',3
ISensorManager.class);,3
hack,3
this.getName(),3
ISensor,3
'Conn_sensors_MasterCardASensor',3
y,3
cannot,3
String[],3
List,3
S,3
\System.out.println("\VisaC"\+"\VisaC\,3
IVisaManagerIComp,3
marks,3
solution,3
name,3
just,3
\System.out.println("\VisaC"\\,3
newName);,3
message,3
well,3
\System.out.println("\VisaA"\+\,3
important,3
Where,3
element,3
\this.setRequiredInterfaceTypes(ISensorManagerReq,\,3
true;,3
literal,3
fault,3
variable,3
tolerance,3
input,3
cosmapek.connectors,3
\this.i_IVisaManager.pagarVisa(valor,\,3
thiag,3
read,3
load,3
sensors,3
this.getPosition()),3
reduce,2
//Hack,2
(VisaB.prov.IVisaManager),2
**********************************************,2
\oldName,\,2
3/23/2015,2
Note,2
produtoF,2
renameFeature(String,2
30/05/2017,2
r=getASensorInRuntimeWith(name);,2
update,2
algorithm,2
Jens,2
catch,2
Not,2
cosmapek.main,2
6/16/2015,2
String[3];,2
substituted,2
\clause,\,2
replacing);,2
list.add(produtoH);,2
\l1,...,ln\,2
controller,2
comp_visaC,2
l2,2
next,2
execu,2
se,2
hijos,2
\Produto(1,"\Banana"\,10f,50,"\Fruta"\);\,2
LinkedList<Node>,2
nodes[i],2
;,2
(without,2
this.manager.getRequiredInterface(IMasterCardManagerTag);,2
'BankTransfer',2
(VisaA.prov.IVisaManager),2
plan,2
produtoG,2
\Produto(6,"\Presunto"\,20f,50,"\Carne\,2
instantiating,2
every,2
\Produto(7,"\Queijo"\,15f,50,"\Gorgonzola"\);\,2
group,2
comp_visaB.businessMethod(param);,2
Thiago,2
extension,2
\this.i_IMasterCardManager.pagarMaster(valor,\,2
produtoA,2
line,2
nodes.add(new,2
comp_java,2
occur,2
'creditCard.req.IMasterCardManager',2
integer,2
featureModel)));,2
Names,2
'visaC.prov.IVisaManager',2
errors,2
'MasterCardB',2
'masterCardB.prov.IMasterCardManager',2
children),2
Literal,2
otherwise,2
'Java',2
collections,2
http://eyalsch.wordpress.com/2010/11/30/xml-dom-2/,2
8/4/2015,2
Meinicke,2
(CreditCard.prov.ICreditCardManager),2
To,2
(catalogue.prov.ICatalogueManager),2
else,2
!,2
comp_catalogue,2
inclusive,2
\System.out.println("\MasterCardB"\+"\MasterCardB\,2
i_IMasterCardManager.businessMethod(param);,2
exists,2
node;,2
g,2
produtoD,2
by:,2
'visaB.prov.IVisaManager',2
mis,2
launched,2
IMasterCardManagerIComp,2
\Produto(4,"\Carne"\,50f,50,"\picanha"\);\,2
Same,2
list.add(produtoC);,2
(MasterCardA.prov.IMasterCardManager),2
javaM.businessMethod(param);,2
'VisaA',2
represent,2
same,2
'Android',2
comp_visaC.businessMethod(param);,2
\nodes,\,2
brackets),2
1st,2
traverse,2
parameter,2
this.manager.getRequiredInterface(IGUIManagerTag);,2
produtos,2
lo,2
(java.prov.IGUIManager),2
DO,2
comp_visaB,2
visaB.prov.IVisaManager,2
argument,2
Holthusen,2
sol),2
thrown,2
symbol,2
valid,2
'VisaB',2
\cosmapek.reader,\,2
supposed,2
'MoneyPayment',2
B),2
\getVariable(feature.getName(),\,2
produtoC,2
produtoB,2
busca,2
Soenke,2
05/12/2016,2
t=(int)(ran.nextDouble()*(tam));,2
x,2
nodeList,2
finding,2
(Payment.prov.IPaymentManager),2
this.manager.getRequiredInterface(ICatalogueManagerTag);,2
(node,2
Hack,2
list.add(produtoG);,2
rules,2
reached,2
list.add(produtoE);,2
\Produto(3,"\Macarrao"\,10f,50,"\Miojo"\);\,2
java.prov.IGUIManager,2
'MasterCardA',2
section,2
names,2
recursion,2
\Processada"\);\,2
milliseconds,2
====================================================================,2
negative,2
(visaB.prov.IVisaManager),2
(BankTransfer.prov.IBankTransferManager),2
IGUIManagerIComp,2
catalogue.prov.ICatalogueManager,2
<code>literals</code>,2
some,2
(visaC.prov.IVisaManager),2
produtoE,2
Featurenames,2
other,2
output,2
'Catalogue',2
(IGUIManager),2
'visaA.prov.IVisaManager',2
'VisaC',2
Or,2
(Catalogue.prov.ICatalogueManager),2
Node>,2
(Java.prov.IGUIManager),2
time,2
Original,2
procedure,2
\Literal(getVariable(feature.getName(),\,2
connectors,2
occurrence,2
short,2
\Produto(5,"\Alface"\,5f,50,"\Verdura"\);\,2
solvers,2
via,2
create,2
list.add(produtoD);,2
\clauses,\,2
\HashMap<Object,\,2
allow,2
(BankInvoice.prov.IBankInvoiceManager),2
That,2
java,2
'masterCardA.prov.IMasterCardManager',2
controller.getProvidedInterface(IControllerManagerTag);,2
'BankInvoice',2
list.add(produtoB);,2
(MoneyPayment.prov.IMoneyPaymentManager),2
go,2
\comp_CreditCard.setRequiredInterface(IVisaManagerTag,\,2
produtoH,2
\Produto(8,"\Vinho"\,100f,50,"\Bebida\,2
IFeatureModel,2
visaC.prov.IVisaManager,2
extra,2
'java.prov.IGUIManager',2
funciona,2
\File(sdcard,\,2
caso,2
TreeSet<String>,2
\Alcoolica"\);\,2
Interfaces,2
\Literal(getVariable(root.getName(),\,2
FXCollections.observableArrayList();,2
(connect.getOrigin().equals(senName),2
list.add(produtoA);,2
below,2
default,2
(IMasterCardManager),2
=>,2
deleted,2
replacing,2
ln,2
normal,2
'controller.req.IGUIManager',2
l1,2
<code>true</code>,2
negated,2
\System.out.println("\VisaB"\\,2
quotation-marked,2
\System.out.println("\MasterCardA"\+"\MasterCardA\,2
featureModel),2
while,2
separating,2
positive,2
list.add(produtoF);,2
comp_java.businessMethod(param);,2
\Produto(2,"\Farofa"\,8f,50,"\Farofa"\);\,2
=0;,1
cifCartao);,1
when,1
(int)(ran.nextDouble()*,1
featureTable.remove(name);,1
File(URI.create(getConfigurationPath()));,1
diagram,1
controllerIContr,1
negate,1
\StringBuffer,\,1
nodes.length),1
masterCardASensor,1
(IControllerManager),1
selected,1
(comp.getName(),1
comp_bankInvoice,1
(tam));//number,1
comp_masterCardA.businessMethod(param);,1
LinkedList<Node>();,1
'visaASensor.req.IVisaManager',1
retorna,1
coordinate,1
Or),1
\"\"\;\,1
//org.prop4j.NodeWriter.shortSymbols,1
kind,1
\Map<String,\,1
nodes[i].children,1
prop4j,1
there,1
remove,1
primitive,1
'payment.req.ICreditCardManager',1
!rootFeature.isPossibleEmpty())),1
condigo,1
compatible,1
catalogueM.searchAllProducts();,1
effectorsPath);,1
Stefan,1
controllerM.businessMethod(param);,1
latest,1
cupe,1
i),1
run,1
e),1
(if,1
value);,1
variables,1
2,1
(masterCardB.prov.IMasterCardManager),1
payment.prov.IPaymentManager,1
\System.out.println("\VisaC"\+\,1
da,1
\"\eShop.zCosmapek_Configurations"\;\,1
Random(Double.doubleToLongBits(Math.random()));,1
uses,1
comp_visaA.businessMethod(param);,1
visaBM.businessMethod(param);,1
tirar,1
//featureModel,1
cosmapek.conn_reader_main.prov.IManager,1
(parent,1
effectorsPath,1
alternativas,1
features,1
automatically,1
ICatalogueManagerIComp,1
this.manager.getRequiredInterface(IBankTransferManagerTag);,1
removeChildren];,1
\AQUI,\,1
requirements,1
masterCardASensor.getProvidedInterface(ISensorUpdaterManagerTag);,1
conjunto,1
este,1
payment,1
this.manager.getRequiredInterface(IPaymentManagerTag);,1
\Log.d("\VisaC"\,"\VisaCSensor"\+\,1
buscar,1
contador,1
setSol3,1
through,1
'visaCSensor.req.IVisaManager',1
maximum,1
Instanciando,1
botao.setOnClickListener(new,1
bankTransfer.prov.IBankTransferManager,1
Iterator<IFeatureB>(),1
problems,1
index,1
Setters,1
c_conn_VisaC_CreditCard.getProvidedInterface(IVisaManagerTag));,1
specific,1
\getVariable(featureName,\,1
already,1
literal)),1
out,1
change,1
(Exception,1
\"\Unknown"\\,1
0);,1
tempMap,1
v),1
equals,1
children2),1
(CreditCard.req.IVisaManager),1
hemos,1
Node>();,1
sua,1
File(URI.create(getVariabilityPath()));,1
\setSol2[0]="\ProductServiceA"\;\,1
mayor,1
Nodes,1
feature.getParent();,1
well-formed,1
retrieves,1
finally,1
backgroundCosmos.start();,1
entao,1
visaBSensor,1
renaming,1
choose,1
i++){,1
map.get(key);,1
featureOrderList;,1
javaGrafics.prov.IGUIManager,1
Not(Literal),1
clauses),1
(moneyPayment.prov.IMoneyPaymentManager),1
IFeatureB,1
catalogueM.businessMethod(param);,1
es,1
correct,1
Feature>,1
-2,1
orderT,1
correctly,1
try,1
'payment.req.IBankTransferManager',1
ALVARO,1
feature.removeLastChild());,1
preserve,1
String[2];,1
featureOrderList,1
component(SENSOR),1
feature);,1
sort,1
assume,1
(is,1
visaCM.businessMethod(param);,1
tautology,1
framework,1
\Log.d("\VisaB"\,"\VisaBSensor"\+\,1
//s,1
creditCard.prov.ICreditCardManager,1
fill,1
sol=new,1
TODO,1
(cosmapek.components.prov.IComponentManager),1
both,1
optional,1
(masterCardA.prov.IMasterCardManager),1
\0,\,1
widely,1
featureList.add(new,1
comp_bankTransfer.businessMethod(param);,1
\feature,\,1
visaB.getProvidedInterface(IVisaManagerTag);,1
char,1
ICreditCardManagerIComp,1
(Payment.req.IMoneyPaymentManager),1
list;,1
model.getFeatureTable();,1
analy,1
masterCardA.getProvidedInterface(IMasterCardManagerTag);,1
Status,1
executor,1
(children.length,1
Or(clause).clone());,1
\+"\VisaB\,1
Fabian,1
(com,1
\AtLeastx+1(a,b)\,1
form,1
unintentional,1
accident,1
produto,1
onClick(View,1
comp_masterCardA,1
visaC.getProvidedInterface(IVisaManagerTag);,1
API,1
Checking,1
Button.OnClickListener(),1
comp_creditCard.businessMethod(param);,1
(IMoneyPaymentManager),1
yo,1
//org.prop4j.NodeWriter.textualSymbols,1
Krueger,1
ascending,1
bankTransfer,1
conn,1
Surrounds,1
(implicants),1
implies,1
asyn,1
'creditCard.prov.ICreditCardManager',1
Main,1
parent.setAnd();,1
Assigns,1
TreeSet<String>();,1
8/19/2015,1
sdcard_variability,1
(annotations,1
parent.removeChild(feature);,1
sen.getPosition(),1
featureModel));,1
getting,1
visaASensor,1
\renameVariables(c.getNode(),\,1
\featureTable.put(newName,\,1
means,1
attribute,1
featureNames,1
\hackFailedRandom(setSol3,\,1
assigned,1
find,1
thanks,1
for(i=0,1
org.sat4j.specs.TimeoutException,1
deleteFeature(f);//tenho,1
varia,1
\B,\,1
Avatar,1
catalogue,1
NOT,1
node.children,1
featureSolution,1
\"\+timeSensorF+"\\,1
Button,1
conn_Java_Controller.impl.ComponentFactory.createInstance();,1
//and,1
access,1
creditCardM.businessMethod(param);,1
bankTransferM.businessMethod(param);,1
bancária,1
(Payment.req.IBankInvoiceManager),1
ran,1
Parses,1
brute,1
Using,1
transformed,1
whitespaces,1
hasActivatedSensors(),1
falha,1
TO,1
1),1
dos,1
moneyPaymentM.businessMethod(param);,1
Alternativas,1
Counts,1
Gets,1
sdcard,1
dectectou,1
i_ICatalogueManager.searchAllProducts();,1
exception,1
(payment.prov.IPaymentManager),1
this.initController();,1
(Button)findViewById(R.id.btIniciaThread);,1
comp_payment,1
Check,1
featureTable.containsKey(newName)),1
sol.iterator();,1
calculateDependencies,1
existing),1
added++;,1
Environment.getExternalStorageDirectory();,1
autoadaptacao,1
start(),1
payment.getProvidedInterface(IPaymentManagerTag);,1
bankTransfer.getProvidedInterface(IBankTransferManagerTag);,1
allows,1
6/3/2015,1
IControllerManagerIComp,1
(added--,1
\featureName,\,1
\Renaming(oldName,\,1
masterCardBSensor,1
fcopy.setNewLocation(newloca);,1
litTrue,1
key,1
searchAllProducts(),1
comp_bankTransfer,1
(int,1
\createClauseSet(clauses,\,1
setSol2,1
componente,1
tam=setSol1.length;,1
controllerM.searchAllProducts();,1
sequence,1
featureOrderList.size();i++),1
'moneyPayment.prov.IMoneyPaymentManager',1
\parent.addChildAtPosition(index,\,1
i=0;i<numE;i++){,1
i_IGUIManager);,1
(to,1
(child.equals(node)),1
friendly,1
my,1
(removeChildren,1
\And,\,1
//org.prop4j.NodeWriter.logicalSymbols,1
force,1
fix,1
'payment.prov.IPaymentManager',1
occurrences,1
comp_Java.getProvidedInterface(IGUIManagerTag);,1
FMPoint,1
\false,\,1
(feature.isAlternative()),1
backgroundCosmos,1
\createClauseSet(newNodes,\,1
(ICreditCardManager),1
optimization,1
models,1
X,1
(cnf),1
'payment.req.IMoneyPaymentManager',1
f.isAbstract(),1
this.rootFeature,1
most,1
\c_conn_Java_Controller.setRequiredInterface(IGUIManagerTag,\,1
comments.clear();,1
Broneske,1
\method,\,1
(IBankTransferManager),1
(IBankInvoiceManager),1
//System.nanoTime(),1
nuevo,1
f.isAlternative()){//may,1
called,1
parse,1
+2,1
masterCardA,1
point;,1
orders,1
featureModel.getRenamingsManager().getOldName(feature.getName());,1
1;,1
Iterator<String>,1
\"\10.6.200.75"\;\,1
handled:,1
javafx.collections.FXCollections;,1
featureNames.contains(parent)),1
clause.removeLast();,1
constructor,1
comp.getPosition(),1
'bankInvoice.prov.IBankInvoiceManager',1
re,1
replacing),1
like,1
hasActivatedSensors();,1
connection,1
\alternativos,\,1
((A,1
since,1
block,1
\Literal(literal.var,\,1
\LinkedList<Node>(),\,1
SAT,1
bien,1
long,1
hackFailedRandom(String[],1
featureModel.getRenamingsManager().getOldName(featureName);,1
1,1
parent.getChildIndex(feature);,1
parameters,1
visaAM.businessMethod(param);,1
start();,1
controll,1
solve,1
03/05/2017,1
\featureTable.put("\root"\,rootFeature);/////////////\,1
parent.setAlternative();,1
SatSolver,1
featureModel)));//,1
computes,1
ColorschemeTable,1
subject,1
result,1
\setSol1[0]="\LocalizationServiceA"\;\,1
Classe,1
node2;,1
removeChildren,1
printing,1
Iterator<IComponent>(),1
children2,1
mando,1
ArrayIndexOutOfBoundsException,1
res.add(it.next());,1
compAnalyzer.hasActivatedSensors();,1
(VisaASensor.req.IVisaManager),1
List<Constraint>,1
renamings.add(new,1
description,1
(visaA.prov.IVisaManager),1
moneyPayment,1
prevent,1
Auto-generated,1
\Not(AtMostx(a,b))\,1
(CreditCard.req.IMasterCardManager),1
were,1
David,1
newChildren[i++],1
meaning,1
adding,1
Creating,1
true);,1
visaA,1
calls,1
'catalogue.prov.ICatalogueManager',1
(bankInvoice.prov.IBankInvoiceManager),1
(feature.isAnd()),1
mas,1
\System.out.println("\VisaB"\+\,1
Random,1
moneyPayment.prov.IMoneyPaymentManager,1
previous,1
\tempMap,\,1
stringToNode,1
(i,1
mutable,1
break;,1
Not(Not(Node)),1
\(!contains(clause,\,1
list.get(i);,1
using,1
instead,1
\featureInvariantTable.put(name,\,1
tru,1
simple,1
Takes,1
if(!backgroundCosmos.isAlive(),1
hackToList(sol);,1
Solution,1
setada,1
voy,1
second(default),1
\Not(AtLeastx(a,b))\,1
java.getProvidedInterface(IGUIManagerTag);,1
multiple,1
comp_Java,1
(!replacings.containsKey(featureModel.getOldName(rootFeature.getName())),1
\comp_Controller.setRequiredInterface(IGUIManagerTag,\,1
(!featureTable.containsKey(oldName),1
bankInvoice.prov.IBankInvoiceManager,1
javaGrafics.prov.IManager,1
connect.getDestination().equals(senName)),1
i<,1
Another,1
(Payment.req.IBankTransferManager),1
concreteFeatures[i++],1
menor,1
comp_moneyPayment.businessMethod(param);,1
featureN,1
Assumes,1
itens,1
within,1
cosmapek.controller.impl.ComponentFactory.createInstance();,1
logic,1
this.manager.getRequiredInterface(IAnalysisManagerTag);,1
Meyer,1
sol.clear();,1
syntax,1
'masterCardASensor.req.IMasterCardManager',1
give,1
visaBSensorISenUp,1
\setSol2[1]="\ProductServiceB"\;\,1
getVariable(String,1
FeatureModel(),1
visaCSensor,1
\setSol3[0]="\ConfigurationServiceA"\;\,1
mapekcosmos,1
this.wait(getTimeLapse());,1
(bankTransfer.prov.IBankTransferManager),1
left,1
(ICatalogueManager),1
different,1
creditCard.getProvidedInterface(ICreditCardManagerTag);,1
masterCardBSensorISenUp,1
id,1
bankInvoice,1
cnf,1
\comp_masterCardB.pagarMaster(valor,\,1
counts,1
characters,1
\comp_CreditCard.setRequiredInterface(IMasterCardManagerTag,\,1
sempre,1
i_IGUIManager;,1
\System.out.println("\VisaB"\+"\Error\,1
\featureOrderList.set(i,\,1
operations,1
convenient,1
constants,1
comp_payment.businessMethod(param);,1
newChildren,1
cosmapek.conn_controller_main.prov.IManager,1
valores,1
\Log.d("\MasterCardA"\,"\MasterCardASensor"\+\,1
unnecessary,1
node.setChildren(newChildren);,1
setting,1
(IPaymentManager),1
versao,1
checked,1
map.keySet()),1
filled,1
Exception();,1
Since,1
size,1
e.g,1
LinkedList<String>();,1
(child,1
setters,1
Benduhn,1
comments;,1
hackToList(TreeSet<String>,1
<code>node</code>,1
masterCardA.prov.IMasterCardManager,1
featureModel.getRenamingsManager().getOldName(literal.var.toString());,1
(comments,1
\System.out.println("\VisaC"\+"\Error\,1
clean,1
failed,1
!MapeKCosmosThreadFactory.wasUsed()){,1
runtime),1
verifica,1
\map.put(var,\,1
Florian,1
siempre,1
expression,1
sincluding,1
this.manager.getRequiredInterface(IComponentManagerTag);,1
usually,1
\Or(Not(a),Not(b))\,1
Lista,1
t2=-1;,1
Retrieves,1
parent.setOr();,1
MapeKCosmosThreadFactory.used();,1
reade_mainM;,1
visaB,1
\Feature("\Root"\);///////////\,1
(sen.getName(),1
dynamic,1
varargs,1
reach,1
if((f.isAnd()),1
>,1
masterCardB.prov.IMasterCardManager,1
&,1
!hasASensorInRuntimeWith(name)),1
cosmapek.components.prov.IComponentManager,1
contraint,1
soma,1
variability.getASolutionWithout(hackFailedFeatures());,1
contained,1
(cosmapek.controller.prov.IControllerManager),1
struct,1
visaA.prov.IVisaManager,1
\"\config.xml"\);\,1
isWellFormed,1
literal.var,1
guarantee,1
NodeList,1
contains(LinkedList<Node>,1
'controller.req.IPaymentManager',1
calculates,1
solutions),1
\Log.d("\MasterCardB"\,"\MasterCardBSensor"\+\,1
\children,\,1
provides,1
masterCardAM.businessMethod(param);,1
sdcard_config,1
bankInvoiceM.businessMethod(param);,1
contradiction,1
compComponents,1
old,1
Element,1
retirada,1
Parse,1
newName));,1
newName),1
creditCard,1
\ensures,\,1
masterCardASensorISenUp,1
incomplete,1
ser,1
\encontre,\,1
conn_Java_Controller.prov.IManager,1
CNF,1
//TO,1
comp_bankInvoice.businessMethod(param);,1
two,1
+1,1
hackFailedFeatures(),1
\map.put(key,\,1
\Not(Or(a,b))\,1
this.manager.getRequiredInterface(IMoneyPaymentManagerTag);,1
child;,1
Proksch,1
\And(Not(a),Not(b))\,1
Instantiates,1
(cosmapek.analyzer.prov.IAnalysisManager),1
each,1
\hackFailedRandom(setSol1,\,1
test,1
Represents,1
(MasterCardBSensor.req.IMasterCardManager),1
arreglo,1
(javaGrafics.prov.IGUIManager),1
MapeKCosmosThread,1
newNodes,1
reply,1
ojo,1
toString,1
i_IGUIManager,1
\log("\MasterCardB"\,\,1
\oldName,String\,1
componentes,1
\updateMap(HashMap<Object,\,1
suboptimal,1
transferência,1
comp_Java;,1
(Object,1
nombre,1
TEST,1
bankInvoice.getProvidedInterface(IBankInvoiceManagerTag);,1
higher,1
(Literal),1
calculated,1
this.manager.getRequiredInterface(IBankInvoiceManagerTag);,1
(recursive,1
\integers,\,1
mismo,1
did,1
pelo,1
setSol1,1
(creditCard.prov.ICreditCardManager),1
works,1
(feature.hasChildren()),1
i+1);,1
Overriding,1
(!hasSensorsInRuntime(),1
visaCSensor.getProvidedInterface(ISensorUpdaterManagerTag);,1
cada,1
c,1
featureOrderList.clear();,1
servidor,1
IBankInvoiceManagerIComp,1
contrï¿½rio,1
paymentM.businessMethod(param);,1
createClauseSet(LinkedList<Node>,1
IBankTransferManagerIComp,1
\cosmapek.connectors,\,1
this.manager.getRequiredInterface(ICreditCardManagerTag);,1
newloca=new,1
masterCardB.getProvidedInterface(IMasterCardManagerTag);,1
agregar,1
codigo,1
(e.g,1
objects,1
\FMPoint(location.getX(),location.getY());\,1
compAnalyzer,1
isSensor,1
Classification,1
object,1
